timestamp,file,error
2026-03-15T00:48:02.178877,book_Ch1_Fig.1.2 c21 A0004721.3FR_0009 levels_6000K gimp-shadows levels crop.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T00:48:15.441357,book_Ch1_Fig.1.22 c29 _A0004991.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T00:48:26.592453,book_Ch1_Fig.1.23 c29 A0004994.3FR levels_4000K.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T00:48:35.987559,book_Ch1_Fig.1.24 c21 A0004796.3FR levels_4000K gimp-shadows-highlights levels_4500K.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T00:50:08.034483,book_Ch1_Fig.1.37 c16 A_4652 gimp-levels.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T00:50:16.466784,book_Ch1_Fig.1.38 c16 A0004663.3FR_0020 rotate_crop gimp-shadows-highlights_levels_5000K.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T00:50:35.703261,book_Ch1_Fig.1.40 c16 A0004678.3FR_0011 crop_levels_4500K.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T00:51:45.860891,book_Ch1_Fig.1.5D c21 A0004799.3FR gimp-crop_shadows-highlights_levels_6000K.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T00:52:18.221674,book_Ch1__Announcement p26 PXL_20230312_014148853.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T00:53:18.435235,book_Ch2_Fig.2.13 c10-floor2 NeeleshKale_3271 crop_levels.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T00:53:49.342640,book_Ch2_Fig.2.19A c10 A0004888.3FR_0003 levels_5000K gimp-shadows-highlights.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T00:54:19.258128,book_Ch2_Fig.2.20 c10 _CAV3530.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T00:54:44.960495,book_Ch2_Fig.2.27 Kanheri-c67G NICK.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T00:54:55.183283,book_Ch2_Fig.2.4 c12-floor3 PXL_20230312_063618581.NIGHT_0000.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T00:55:33.846032,book_Ch2__Frontis p96 C2 A_5077.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
2026-03-15T00:55:57.596505,book_Ch3_Fig.3.13 c30 PXL_20230313_103646906.jpg,HTTP 413: The image exceeded the size limit of 20000000 bytes. Try again by uploading a smaller image.
